title,id,url,HITId,WorkerId0,WorkerId1,WorkerId2,AssignmentStatus0,AssignmentStatus1,AssignmentStatus2,labels0,labels1,labels2,labels_enriched0,labels_enriched1,labels_enriched2,labels_enriched_majority
"Bourdon, Sébastien - Le Camp de Bohémiens.jpg",10599004,https://upload.wikimedia.org/wikipedia/commons/c/c5/Bourdon%2C_S%C3%A9bastien_-_Le_Camp_de_Boh%C3%A9miens.jpg,30UZJB2PPWND0SBVHFVB237UAVS53S,A1ARWNTZHGFG8Y,A2QTL039A5VV3I,AEIACTPDXL4MJ,Submitted,Submitted,Submitted,{'Monuments & Memorials'},"{'Events', 'People'}",{'Art'},"{'Monuments & Memorials', 'Places'}","{'Events', 'People', 'Society'}","{'Art', 'Culture'}",set()
Murugadoss With Amir Khan.jpg,23248168,https://upload.wikimedia.org/wikipedia/commons/8/83/Murugadoss_With_Amir_Khan.jpg,30UZJB2PPWND0SBVHFVB237UAVS53S,A1ARWNTZHGFG8Y,A2QTL039A5VV3I,AEIACTPDXL4MJ,Submitted,Submitted,Submitted,"{'Events', 'People'}","{'Events', 'People'}","{'Events', 'People'}","{'Events', 'People', 'Society'}","{'Events', 'People', 'Society'}","{'Events', 'People', 'Society'}","{'Events', 'People', 'Society'}"
Archaic ship log.svg,9063564,https://upload.wikimedia.org/wikipedia/commons/8/88/Archaic_ship_log.svg,30UZJB2PPWND0SBVHFVB237UAVS53S,A1ARWNTZHGFG8Y,A2QTL039A5VV3I,AEIACTPDXL4MJ,Submitted,Submitted,Submitted,{'Mathematics'},"{'Mathematics', 'Diagrams'}",{'Diagrams'},"{'STEM', 'Mathematics'}","{'STEM', 'Mathematics', 'Diagrams'}","{'STEM', 'Diagrams'}","{'STEM', 'Mathematics', 'Diagrams'}"
Himalia - New Horizons.png,92323302,https://upload.wikimedia.org/wikipedia/commons/a/ad/Himalia_-_New_Horizons.png,30UZJB2PPWND0SBVHFVB237UAVS53S,A1ARWNTZHGFG8Y,A2QTL039A5VV3I,AEIACTPDXL4MJ,Submitted,Submitted,Submitted,{'Space'},"{'Space', 'Places'}",{'Diagrams'},"{'STEM', 'Space'}","{'STEM', 'Space', 'Places'}","{'STEM', 'Diagrams'}","{'STEM', 'Space'}"
Hogans Alley.JPG,10722396,https://upload.wikimedia.org/wikipedia/commons/3/37/Hogans_Alley.JPG,30UZJB2PPWND0SBVHFVB237UAVS53S,A1ARWNTZHGFG8Y,A2QTL039A5VV3I,AEIACTPDXL4MJ,Submitted,Submitted,Submitted,{'Places'},"{'Landscapes', 'Monuments & Memorials'}",{'Places'},{'Places'},"{'Landscapes', 'Monuments & Memorials', 'Places'}",{'Places'},{'Places'}
Harrison Petty 2019.5.jpg,82949585,https://upload.wikimedia.org/wikipedia/commons/b/b4/Harrison_Petty_2019.5.jpg,30UZJB2PPWND0SBVHFVB237UAVS53S,A1ARWNTZHGFG8Y,A2QTL039A5VV3I,AEIACTPDXL4MJ,Submitted,Submitted,Submitted,"{'Sports', 'People'}","{'Sports', 'People'}","{'Sports', 'People'}","{'Sports', 'People', 'Society'}","{'Sports', 'People', 'Society'}","{'Sports', 'People', 'Society'}","{'Sports', 'People', 'Society'}"
Maurepas (3).JPG,34326100,https://upload.wikimedia.org/wikipedia/commons/e/e3/Maurepas_%283%29.JPG,30UZJB2PPWND0SBVHFVB237UAVS53S,A1ARWNTZHGFG8Y,A2QTL039A5VV3I,AEIACTPDXL4MJ,Submitted,Submitted,Submitted,"{'Architecture', 'Places'}","{'Monuments & Memorials', 'Architecture'}",{'Architecture'},"{'Architecture', 'Places'}","{'Monuments & Memorials', 'Architecture', 'Places'}","{'Architecture', 'Places'}","{'Architecture', 'Places'}"
Gianina Ernst.JPG,30941655,https://upload.wikimedia.org/wikipedia/commons/a/a6/Gianina_Ernst.JPG,30UZJB2PPWND0SBVHFVB237UAVS53S,A1ARWNTZHGFG8Y,A2QTL039A5VV3I,AEIACTPDXL4MJ,Submitted,Submitted,Submitted,"{'Sports', 'People'}","{'Sports', 'People'}","{'Sports', 'People'}","{'Sports', 'People', 'Society'}","{'Sports', 'People', 'Society'}","{'Sports', 'People', 'Society'}","{'Sports', 'People', 'Society'}"
Five tibetan rite 3.gif,31308023,https://upload.wikimedia.org/wikipedia/commons/3/3a/Five_tibetan_rite_3.gif,30UZJB2PPWND0SBVHFVB237UAVS53S,A1ARWNTZHGFG8Y,A2QTL039A5VV3I,AEIACTPDXL4MJ,Submitted,Submitted,Submitted,{'None'},{'People'},{'None'},set(),"{'People', 'Society'}",set(),set()
Francis Robert Japp.jpg,16028364,https://upload.wikimedia.org/wikipedia/commons/5/57/Francis_Robert_Japp.jpg,30UZJB2PPWND0SBVHFVB237UAVS53S,A1ARWNTZHGFG8Y,A2QTL039A5VV3I,AEIACTPDXL4MJ,Submitted,Submitted,Submitted,{'People'},{'People'},"{'People', 'History'}","{'People', 'Society'}","{'People', 'Society'}","{'Culture', 'People', 'History', 'Society'}","{'People', 'Society'}"
Quantum gate teleportation.png,87575606,https://upload.wikimedia.org/wikipedia/commons/4/42/Quantum_gate_teleportation.png,311HQEI8S7RT8PW7QF5H4OQ5GWM7Z6,A1JG342PWI2PTC,A2X3QCJK0H18T8,AETIZKQNUSBLB,Submitted,Submitted,Submitted,"{'Mathematics', 'Diagrams'}",{'Diagrams'},"{'Technology & Engineering', 'Diagrams'}","{'STEM', 'Mathematics', 'Diagrams'}","{'STEM', 'Diagrams'}","{'STEM', 'Technology & Engineering', 'Diagrams'}","{'STEM', 'Diagrams'}"
Farey diagram circle packing 6.png,86073442,https://upload.wikimedia.org/wikipedia/commons/3/3e/Farey_diagram_circle_packing_6.png,311HQEI8S7RT8PW7QF5H4OQ5GWM7Z6,A1JG342PWI2PTC,A2X3QCJK0H18T8,AETIZKQNUSBLB,Submitted,Submitted,Submitted,{'None'},"{'People', 'Logos & Symbols'}",{'None'},set(),"{'People', 'Logos & Symbols', 'Society'}",set(),set()
Jonas-westergaard.jpg,36639526,https://upload.wikimedia.org/wikipedia/commons/2/2a/Jonas-westergaard.jpg,311HQEI8S7RT8PW7QF5H4OQ5GWM7Z6,A1JG342PWI2PTC,A2X3QCJK0H18T8,AETIZKQNUSBLB,Submitted,Submitted,Submitted,"{'Art', 'People', 'Music'}",{'People'},{'Music'},"{'Art', 'Culture', 'Music', 'Society', 'People'}","{'People', 'Society'}","{'Culture', 'Music'}","{'Culture', 'People', 'Music', 'Society'}"
"Nissan Cefiro (third generation) (front), Serdang.jpg",2817283,https://upload.wikimedia.org/wikipedia/commons/6/60/Nissan_Cefiro_%28third_generation%29_%28front%29%2C_Serdang.jpg,311HQEI8S7RT8PW7QF5H4OQ5GWM7Z6,A1JG342PWI2PTC,A2X3QCJK0H18T8,AETIZKQNUSBLB,Submitted,Submitted,Submitted,"{'Places', 'Technology & Engineering'}",{'Technology & Engineering'},{'Transportation'},"{'STEM', 'Places', 'Technology & Engineering'}","{'STEM', 'Technology & Engineering'}","{'Transportation', 'Society'}","{'STEM', 'Technology & Engineering'}"
Bozen Waltherplatz.JPG,22713865,https://upload.wikimedia.org/wikipedia/commons/7/70/Bozen_Waltherplatz.JPG,311HQEI8S7RT8PW7QF5H4OQ5GWM7Z6,A1JG342PWI2PTC,A2X3QCJK0H18T8,AETIZKQNUSBLB,Submitted,Submitted,Submitted,"{'Landscapes', 'Monuments & Memorials', 'Architecture', 'Places'}","{'Places', 'Plants'}","{'Monuments & Memorials', 'Places'}","{'Landscapes', 'Monuments & Memorials', 'Architecture', 'Places'}","{'STEM', 'Nature', 'Places', 'Plants'}","{'Monuments & Memorials', 'Places'}","{'Monuments & Memorials', 'Places'}"
Application of the Bamford-Stevens reaction in natural product total synthesis.jpg,37081816,https://upload.wikimedia.org/wikipedia/commons/f/f3/Application_of_the_Bamford-Stevens_reaction_in_natural_product_total_synthesis.jpg,311HQEI8S7RT8PW7QF5H4OQ5GWM7Z6,A1JG342PWI2PTC,A2X3QCJK0H18T8,AETIZKQNUSBLB,Submitted,Submitted,Submitted,{'Chemistry'},{'Chemistry'},{'Chemistry'},"{'Chemistry', 'STEM'}","{'Chemistry', 'STEM'}","{'Chemistry', 'STEM'}","{'Chemistry', 'STEM'}"
Coronagraph starburst.jpg,58338896,https://upload.wikimedia.org/wikipedia/commons/8/8e/Coronagraph_starburst.jpg,311HQEI8S7RT8PW7QF5H4OQ5GWM7Z6,A1JG342PWI2PTC,A2X3QCJK0H18T8,AETIZKQNUSBLB,Submitted,Submitted,Submitted,{'Space'},"{'Logos & Symbols', 'Diagrams'}",{'None'},"{'STEM', 'Space'}","{'STEM', 'Logos & Symbols', 'Diagrams'}",set(),{'STEM'}
"Grimm's Kinder- und Hausmärchen, Erster Theil (1812).cover.jpg",471797,https://upload.wikimedia.org/wikipedia/commons/8/8c/Grimm%27s_Kinder-_und_Hausm%C3%A4rchen%2C_Erster_Theil_%281812%29.cover.jpg,311HQEI8S7RT8PW7QF5H4OQ5GWM7Z6,A1JG342PWI2PTC,A2X3QCJK0H18T8,AETIZKQNUSBLB,Submitted,Submitted,Submitted,"{'Art', 'History'}",{'Art'},{'None'},"{'Art', 'Culture', 'History'}","{'Art', 'Culture'}",set(),"{'Art', 'Culture'}"
Actor Stephanie Beatriz.jpg,36143005,https://upload.wikimedia.org/wikipedia/commons/8/80/Actor_Stephanie_Beatriz.jpg,311HQEI8S7RT8PW7QF5H4OQ5GWM7Z6,A1JG342PWI2PTC,A2X3QCJK0H18T8,AETIZKQNUSBLB,Submitted,Submitted,Submitted,{'People'},{'People'},{'People'},"{'People', 'Society'}","{'People', 'Society'}","{'People', 'Society'}","{'People', 'Society'}"
Magiclantern.jpg,22525059,https://upload.wikimedia.org/wikipedia/commons/9/9a/Magiclantern.jpg,311HQEI8S7RT8PW7QF5H4OQ5GWM7Z6,A1JG342PWI2PTC,A2X3QCJK0H18T8,AETIZKQNUSBLB,Submitted,Submitted,Submitted,{'Technology & Engineering'},{'Technology & Engineering'},"{'History', 'Technology & Engineering'}","{'STEM', 'Technology & Engineering'}","{'STEM', 'Technology & Engineering'}","{'Culture', 'STEM', 'History', 'Technology & Engineering'}","{'STEM', 'Technology & Engineering'}"
Graph with all its spanning trees.svg,27442405,https://upload.wikimedia.org/wikipedia/commons/e/ea/Graph_with_all_its_spanning_trees.svg,31YWE12TFFN43UWSPXHW73AU8WO7X9,A3PRQ2GSU42718,AEIACTPDXL4MJ,AK5AFB4VLBCGK,Submitted,Submitted,Submitted,"{'Technology & Engineering', 'Diagrams'}",{'Mathematics'},{'Mathematics'},"{'STEM', 'Technology & Engineering', 'Diagrams'}","{'STEM', 'Mathematics'}","{'STEM', 'Mathematics'}","{'STEM', 'Mathematics'}"
Newburgh Bay.jpg,2690056,https://upload.wikimedia.org/wikipedia/commons/d/d4/Newburgh_Bay.jpg,31YWE12TFFN43UWSPXHW73AU8WO7X9,A3PRQ2GSU42718,AEIACTPDXL4MJ,AK5AFB4VLBCGK,Submitted,Submitted,Submitted,"{'Landscapes', 'Places'}",{'Landscapes'},{'Art'},"{'Landscapes', 'Places'}","{'Landscapes', 'Places'}","{'Art', 'Culture'}","{'Landscapes', 'Places'}"
"Емина, Алекса Шантић.jpg",39902493,https://upload.wikimedia.org/wikipedia/commons/b/bd/%D0%95%D0%BC%D0%B8%D0%BD%D0%B0%2C_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0_%D0%A8%D0%B0%D0%BD%D1%82%D0%B8%D1%9B.jpg,31YWE12TFFN43UWSPXHW73AU8WO7X9,A3PRQ2GSU42718,AEIACTPDXL4MJ,AK5AFB4VLBCGK,Submitted,Submitted,Submitted,{'Literature'},{'Literature'},{'Literature'},"{'Culture', 'Literature'}","{'Culture', 'Literature'}","{'Culture', 'Literature'}","{'Culture', 'Literature'}"
Dynamic smile reconstruction in congenital facial paralysis.jpg,12017657,https://upload.wikimedia.org/wikipedia/commons/9/9f/Dynamic_smile_reconstruction_in_congenital_facial_paralysis.jpg,31YWE12TFFN43UWSPXHW73AU8WO7X9,A3PRQ2GSU42718,AEIACTPDXL4MJ,AK5AFB4VLBCGK,Submitted,Submitted,Submitted,"{'Medicine & Health', 'Diagrams'}",{'Diagrams'},{'Diagrams'},"{'Medicine & Health', 'STEM', 'Diagrams'}","{'STEM', 'Diagrams'}","{'STEM', 'Diagrams'}","{'STEM', 'Diagrams'}"
DMPS-3D-balls.png,10609640,https://upload.wikimedia.org/wikipedia/commons/3/37/DMPS-3D-balls.png,31YWE12TFFN43UWSPXHW73AU8WO7X9,A3PRQ2GSU42718,AEIACTPDXL4MJ,AK5AFB4VLBCGK,Submitted,Submitted,Submitted,{'Chemistry'},{'Chemistry'},"{'Chemistry', 'Geology & Fossils'}","{'Chemistry', 'STEM'}","{'Chemistry', 'STEM'}","{'Chemistry', 'STEM', 'Geology & Fossils'}","{'Chemistry', 'STEM'}"
Phyllodes tumor presentation.jpg,22990218,https://upload.wikimedia.org/wikipedia/commons/6/65/Phyllodes_tumor_presentation.jpg,31YWE12TFFN43UWSPXHW73AU8WO7X9,A3PRQ2GSU42718,AEIACTPDXL4MJ,AK5AFB4VLBCGK,Submitted,Submitted,Submitted,{'Medicine & Health'},{'None'},"{'Animals', 'Medicine & Health'}","{'STEM', 'Medicine & Health'}",set(),"{'Animals', 'STEM', 'Nature', 'Medicine & Health'}","{'STEM', 'Medicine & Health'}"
Nunnerley memorial.JPG,3781326,https://upload.wikimedia.org/wikipedia/commons/3/3c/Nunnerley_memorial.JPG,31YWE12TFFN43UWSPXHW73AU8WO7X9,A3PRQ2GSU42718,AEIACTPDXL4MJ,AK5AFB4VLBCGK,Submitted,Submitted,Submitted,"{'Monuments & Memorials', 'History', 'Places'}",{'Monuments & Memorials'},{'Monuments & Memorials'},"{'Culture', 'Monuments & Memorials', 'History', 'Places'}","{'Monuments & Memorials', 'Places'}","{'Monuments & Memorials', 'Places'}","{'Monuments & Memorials', 'Places'}"
Haverfordwest & Milford Haven Telegraph Mar 18 1857.jpg,41441749,https://upload.wikimedia.org/wikipedia/commons/7/76/Haverfordwest_%26_Milford_Haven_Telegraph_Mar_18_1857.jpg,31YWE12TFFN43UWSPXHW73AU8WO7X9,A3PRQ2GSU42718,AEIACTPDXL4MJ,AK5AFB4VLBCGK,Submitted,Submitted,Submitted,{'History'},{'Literature'},{'Literature'},"{'Culture', 'History'}","{'Culture', 'Literature'}","{'Culture', 'Literature'}","{'Culture', 'Literature'}"
"J.R. Nereus O. Acosta, PH.D. (23587990646) (cropped).jpg",92218063,https://upload.wikimedia.org/wikipedia/commons/2/2e/J.R._Nereus_O._Acosta%2C_PH.D._%2823587990646%29_%28cropped%29.jpg,31YWE12TFFN43UWSPXHW73AU8WO7X9,A3PRQ2GSU42718,AEIACTPDXL4MJ,AK5AFB4VLBCGK,Submitted,Submitted,Submitted,{'People'},{'People'},{'People'},"{'People', 'Society'}","{'People', 'Society'}","{'People', 'Society'}","{'People', 'Society'}"
Statuta civitatis mutine reformata 1420 1485.jpg,50837678,https://upload.wikimedia.org/wikipedia/commons/0/08/Statuta_civitatis_mutine_reformata_1420_1485.jpg,31YWE12TFFN43UWSPXHW73AU8WO7X9,A3PRQ2GSU42718,AEIACTPDXL4MJ,AK5AFB4VLBCGK,Submitted,Submitted,Submitted,"{'Art', 'History'}",{'History'},"{'History', 'Literature'}","{'Art', 'Culture', 'History'}","{'Culture', 'History'}","{'Culture', 'History', 'Literature'}","{'Culture', 'History'}"
Orvarodd.jpg,1820121,https://upload.wikimedia.org/wikipedia/commons/a/a0/Orvarodd.jpg,329E6HTMTBDGIBWYO2ZH4SQC7LNK3S,A2VM7CXPB0M1JO,A304UJAE051J89,A33I0A28TLIR6J,Submitted,Submitted,Submitted,"{'Art', 'History'}","{'People', 'History'}",{'Art'},"{'Art', 'Culture', 'History'}","{'Culture', 'People', 'History', 'Society'}","{'Art', 'Culture'}","{'Art', 'Culture', 'History'}"
Tribuna estadio excursio.jpg,50682863,https://upload.wikimedia.org/wikipedia/commons/f/fe/Tribuna_estadio_excursio.jpg,329E6HTMTBDGIBWYO2ZH4SQC7LNK3S,A2VM7CXPB0M1JO,A304UJAE051J89,A33I0A28TLIR6J,Submitted,Submitted,Submitted,"{'Sports', 'Places'}","{'Sports', 'Maps & Flags'}",{'Sports'},"{'Sports', 'Places', 'Society'}","{'Sports', 'Society', 'Places', 'Maps & Flags'}","{'Sports', 'Society'}","{'Sports', 'Places', 'Society'}"
St. Georgen bei Obernberg am Inn - Kirche (1).JPG,29141810,https://upload.wikimedia.org/wikipedia/commons/9/99/St._Georgen_bei_Obernberg_am_Inn_-_Kirche_%281%29.JPG,329E6HTMTBDGIBWYO2ZH4SQC7LNK3S,A2VM7CXPB0M1JO,A304UJAE051J89,A33I0A28TLIR6J,Submitted,Submitted,Submitted,"{'History', 'Architecture'}","{'Art', 'Architecture', 'People', 'Logos & Symbols', 'Monuments & Memorials'}",{'Architecture'},"{'Culture', 'History', 'Architecture', 'Places'}","{'Art', 'Culture', 'Architecture', 'Society', 'People', 'Logos & Symbols', 'Monuments & Memorials', 'Places'}","{'Architecture', 'Places'}","{'Culture', 'Architecture', 'Places'}"
CoaguChekXS with SoftClix and test strip.png,5983348,https://upload.wikimedia.org/wikipedia/commons/5/58/CoaguChekXS_with_SoftClix_and_test_strip.png,329E6HTMTBDGIBWYO2ZH4SQC7LNK3S,A2VM7CXPB0M1JO,A304UJAE051J89,A33I0A28TLIR6J,Submitted,Submitted,Submitted,{'Medicine & Health'},{'Medicine & Health'},{'Technology & Engineering'},"{'STEM', 'Medicine & Health'}","{'STEM', 'Medicine & Health'}","{'STEM', 'Technology & Engineering'}","{'STEM', 'Medicine & Health'}"
In memoriam 929.JPG,21453554,https://upload.wikimedia.org/wikipedia/commons/9/92/In_memoriam_929.JPG,329E6HTMTBDGIBWYO2ZH4SQC7LNK3S,A2VM7CXPB0M1JO,A304UJAE051J89,A33I0A28TLIR6J,Submitted,Submitted,Submitted,"{'History', 'Architecture'}","{'Art', 'Monuments & Memorials', 'Geology & Fossils'}",{'Monuments & Memorials'},"{'Culture', 'History', 'Architecture', 'Places'}","{'Art', 'Culture', 'STEM', 'Monuments & Memorials', 'Geology & Fossils', 'Places'}","{'Monuments & Memorials', 'Places'}","{'Culture', 'Monuments & Memorials', 'Places'}"
Acyclic coloring.svg,2424168,https://upload.wikimedia.org/wikipedia/commons/2/24/Acyclic_coloring.svg,329E6HTMTBDGIBWYO2ZH4SQC7LNK3S,A2VM7CXPB0M1JO,A304UJAE051J89,A33I0A28TLIR6J,Submitted,Submitted,Submitted,{'Diagrams'},"{'Chemistry', 'Logos & Symbols', 'Diagrams'}",{'Diagrams'},"{'STEM', 'Diagrams'}","{'Chemistry', 'STEM', 'Logos & Symbols', 'Diagrams'}","{'STEM', 'Diagrams'}","{'STEM', 'Diagrams'}"
King County Water Taxi.jpg,19654577,https://upload.wikimedia.org/wikipedia/commons/7/7d/King_County_Water_Taxi.jpg,329E6HTMTBDGIBWYO2ZH4SQC7LNK3S,A2VM7CXPB0M1JO,A304UJAE051J89,A33I0A28TLIR6J,Submitted,Submitted,Submitted,{'Places'},"{'Landscapes', 'Transportation', 'Technology & Engineering'}",{'Architecture'},{'Places'},"{'Transportation', 'Places', 'Society', 'STEM', 'Landscapes', 'Technology & Engineering'}","{'Architecture', 'Places'}",{'Places'}
DG Jahresmappe 1909.jpg,29058524,https://upload.wikimedia.org/wikipedia/commons/6/61/DG_Jahresmappe_1909.jpg,329E6HTMTBDGIBWYO2ZH4SQC7LNK3S,A2VM7CXPB0M1JO,A304UJAE051J89,A33I0A28TLIR6J,Submitted,Submitted,Submitted,"{'Art', 'History'}","{'Art', 'People', 'History', 'Mathematics'}",{'History'},"{'Art', 'Culture', 'History'}","{'Art', 'Culture', 'Society', 'STEM', 'People', 'History', 'Mathematics'}","{'Culture', 'History'}","{'Art', 'Culture', 'History'}"
"US Consumption of Meat, Poultry, and Fish.svg",65718105,https://upload.wikimedia.org/wikipedia/commons/7/7c/US_Consumption_of_Meat%2C_Poultry%2C_and_Fish.svg,329E6HTMTBDGIBWYO2ZH4SQC7LNK3S,A2VM7CXPB0M1JO,A304UJAE051J89,A33I0A28TLIR6J,Submitted,Submitted,Submitted,{'Diagrams'},"{'Food', 'Maps & Flags', 'People', 'Logos & Symbols', 'Diagrams'}",{'Diagrams'},"{'STEM', 'Diagrams'}","{'Food', 'Culture', 'Places', 'Maps & Flags', 'Society', 'STEM', 'People', 'Logos & Symbols', 'Diagrams'}","{'STEM', 'Diagrams'}","{'STEM', 'Diagrams'}"
Mechanism 02.png,17600814,https://upload.wikimedia.org/wikipedia/commons/1/11/Mechanism_02.png,329E6HTMTBDGIBWYO2ZH4SQC7LNK3S,A2VM7CXPB0M1JO,A304UJAE051J89,A33I0A28TLIR6J,Submitted,Submitted,Submitted,{'Diagrams'},"{'Logos & Symbols', 'Diagrams', 'Maps & Flags'}",{'Diagrams'},"{'STEM', 'Diagrams'}","{'Maps & Flags', 'STEM', 'Logos & Symbols', 'Diagrams', 'Places'}","{'STEM', 'Diagrams'}","{'STEM', 'Diagrams'}"
Amarillo Texas - Santa Fe Railroad Building1.jpg,538926,https://upload.wikimedia.org/wikipedia/commons/4/42/Amarillo_Texas_-_Santa_Fe_Railroad_Building1.jpg,33Q5P9PUT4XZK6R3HWDSKAIJH7DCZ4,A2404K01AK5XDB,A3ATSR1NVX851J,ABVP1XX3ZOMKL,Submitted,Submitted,Submitted,{'Architecture'},{'Architecture'},{'Places'},"{'Architecture', 'Places'}","{'Architecture', 'Places'}",{'Places'},"{'Architecture', 'Places'}"
Stephen L. Carter - 2015 National Book Festival (2).jpg,42961343,https://upload.wikimedia.org/wikipedia/commons/8/87/Stephen_L._Carter_-_2015_National_Book_Festival_%282%29.jpg,33Q5P9PUT4XZK6R3HWDSKAIJH7DCZ4,A2404K01AK5XDB,A3ATSR1NVX851J,ABVP1XX3ZOMKL,Submitted,Submitted,Submitted,{'People'},{'People'},{'People'},"{'People', 'Society'}","{'People', 'Society'}","{'People', 'Society'}","{'People', 'Society'}"
